Teacher,Title/Subject,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,EID,
ksc,A Transparent Hypervisor-level Checkpoint-Restart Mechanism for a Cluster of Virtual Machines,2018,"Proceeding of 2018 15th International Joint Conference on Computer Science and Software Engineering, JCSSE 2018",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057742393&doi=10.1109%2fJCSSE.2018.8457176&partnerID=40&md5=3794161c24a04db83bc9060d5ba0e18b,"A cluster of virtual machines is a common platform for running MPI applications in cloud computing environments. However, most traditional methods to provide fault tolerance to these applications are not fully transparent and require specific, checkpointing-enabled MPI software. This paper presents a novel Transparent Hypervisor-level Checkpoint-Restart mechanism, namely the Virtual Cluster Checkpoint-Restart (VCCR), to perform checkpoint and restart operations at hypervisor-level. VCCR is highly transparent to MPI applications and guest OS. In VCCR, a software framework consisting of a controller and agent processes is created to perform checkpoint and restart operations for the entire cluster. The checkpoint and restart protocols of VCCR are designed based on the principles of barrier synchronization and virtual time to maintain global consistency and efficiency. We have developed a prototype of VCCR on top the QEMU-KVM software and conducted two preliminary experiments using NAS Parallel Benchmark. Experimental results confirm that VCCR can correctly and efficiently checkpoint and restart a cluster of virtual machines. © 2018 IEEE.",Checkpointing; Cluster computing; Virtualization,Application programs; Cloud computing; Cluster computing; Computer programming; Fault tolerance; Message passing; Network security; Software agents; Virtual machine; Virtualization; Barrier synchronization; Check pointing; Checkpoint-and-restart; Cloud computing environments; Global consistency; NAS parallel benchmarks; Restart mechanism; Software frameworks; Software prototyping,Conference Paper,2-s2.0-85057742393,
ppr,PRAGMA Cloud Scheduler: Improving Usability of the PRAGMA Cloud Testbed,2018,"ICSEC 2017 - 21st International Computer Science and Engineering Conference 2017, Proceeding",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053441106&doi=10.1109%2fICSEC.2017.8443838&partnerID=40&md5=a564a0afed3ddaa6dec07f3c9ace9e6b,"The Pacific Rim Application and Grid Middleware Assembly (PRAGMA) is a community of research scientists and institutions from around the Pacific Rim that collaborate together to enable scientific expeditions in areas such as biodiversity distribution and lake ecology. Previously, a web-based cloud scheduler reservation system was proposed to enable users to run application experiments using virtual clusters on a persistent distributed international infrastructure, called the PRAGMA Cloud Testbed. As the testbed has expanded to a broader group of users and more complex resources, the existing PRAGMA cloud scheduler became not as user-friendly as it was with the initial simple usage scenario, and insufficient for the administrators to handle anticipated more complicated use cases. This paper presents a redesign of the user interface component of this PRAGMA cloud scheduler and its additional features in order to improve the usability of the testbed for a broad range of users so that they can easily create and manage virtual clusters and run experiments for their long tail of science. This scheduler has a client-server architecture that requires minimal installation and management effort for participating testbed sites. We extended the existing PRAGMA technologies that the scheduler was built upon to facilitate automatic access to testbed resources for heterogeneous sites and applications. These extensions include unified management of virtual cluster images and expanded virtual cluster porting to a variety of cloud hosting environments. The new user interface was designed and built using node.js, React, SASS and Google Maps API and is based on principles of human computer interaction and the SOLID principles of object-oriented design. As a result, we have the new PRAGMA cloud scheduler that is more user-friendly, understandable, flexible and maintainable. © 2017 IEEE.",Cloud; Resource Sharing; Scheduling; Software Design; Usability; Virtualization,Application programming interfaces (API); Biodiversity; Client server computer systems; Clouds; Human computer interaction; Middleware; Object oriented programming; Reservation systems; Scheduling; Software design; Systems analysis; Testbeds; Virtualization; Client-server architectures; Management efforts; Object oriented design; Resource sharing; Usability; Usage scenarios; User interface components; Virtual clusters; User interfaces,Conference Paper,2-s2.0-85053441106,
wdp,Modeling and forecasting of end-to-end available bandwidth in wide area networks,2018,"2018 22nd International Computer Science and Engineering Conference, ICSEC 2018",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066468372&doi=10.1109%2fICSEC.2018.8712685&partnerID=40&md5=5a39fb8e8304fa86d20253ddc57b7bf8,"This paper studied modeling and forecasting end-to-end available bandwidth in Wide Area Networks using time series models. We used the ARIMA(p,d,q) and SARIMA (p,d,q)(P,D,Q)[s] models to model available bandwidth data sets published by Stanford Linear Accelerator Center (SLAC) in 2009. We found that both models can be used to model available bandwidth along an end-to-end path. In addition, our results indicated that SARIMA outperforms ARIMA in forecasting future available bandwidth. © 2018 IEEE.",ARIMA model; Available bandwidth; Forecasting; SARIMA model; Time series; Wide networks,Forecasting; Time series; Wide area networks; ARIMA modeling; Available bandwidth; End to end; End-to-end path; Modeling and forecasting; Sarima models; Stanford Linear Accelerator Center; Time series models; Bandwidth,Conference Paper,2-s2.0-85066468372,
pps,Exploring Efficiency of Data Mining Techniques for Missing Link in Online Social Network,2018,"2018 International Joint Symposium on Artificial Intelligence and Natural Language Processing, iSAI-NLP 2018 - Proceedings",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065066845&doi=10.1109%2fiSAI-NLP.2018.8692951&partnerID=40&md5=0c8bafd4758308ec85bbddd2dfabcda9,"Missing link in Online Social Network (OSN) is an interesting problem for capturing missing relation and understanding user's behavior. The existing work introduced social features for training predictive models, but they used only SVM prediction technique for solving the problem. However, we suspect that other prediction techniques may give better performance. This study investigates prediction performances of SVM, k-NN, Decision Tree, Neural Networks, Naïve Bayes, Logistic Regression and Random Forest using two OSN datasets (high-density and low density). We realize that the Random Forest technique has the best performance with F1-measure score. Moreover, this technique is most robust technique for the both datasets. © 2018 IEEE.",Link prediction; Missing link; Online social network; Prediction technique,Artificial intelligence; Barium compounds; Behavioral research; Data mining; Decision trees; Forecasting; Natural language processing systems; Nearest neighbor search; Link prediction; Logistic regressions; Missing link; On-line social networks; Online social networks (OSN); Prediction performance; Prediction techniques; Predictive models; Social networking (online),Conference Paper,2-s2.0-85065066845,
pps,Activity Recognition using Kinect and Comparison of Supervised Learning Models for Activity Classification,2018,"2018 International Joint Symposium on Artificial Intelligence and Natural Language Processing, iSAI-NLP 2018 - Proceedings",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065054658&doi=10.1109%2fiSAI-NLP.2018.8692801&partnerID=40&md5=82d94e81af7bbeeb7b91d9fbdf9ef53a,"This work presents a method to develop activity recognition using Kinect as a motion-sensing device and supervised learning for classification. Data from Kinect are continuous and independent frame representing in three dimensional axes from 20 human joints. The data then are trained for classify activities using supervised learning algorithms. The activities are 10 basic motion-gestures such as standing, waving, Thai-style greeting and walking. To compare supervised learning for classification in the task, four algorithms including neural networks, naive bayes, decision tree and support vector machine are applied to generate classification models. From experiment results, the best overall classification model was from neural network algorithm at about 75% accuracy while the second best was support vector machine with slightly lower accuracy. From analysis, the most incorrect activities were 'wai' (Thai greeting) and 'walking' in which were often misinterpreted to their similar activities as 'bowing' and running', respectively. © 2018 IEEE.",Activity Recognition; Classification; Data mining; Kinect; Motion Detection,Classification (of information); Data mining; Decision trees; Machine learning; Natural language processing systems; Pattern recognition; Supervised learning; Support vector machines; Activity classifications; Activity recognition; Classification models; Kinect; Motion detection; Motion gestures; Motion sensing; Neural network algorithm; Learning algorithms,Conference Paper,2-s2.0-85065054658,
ssr,Refactoring opportunity identification methodology for removing long method smells and improving code analyzability,2018,IEICE Transactions on Information and Systems,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049395535&doi=10.1587%2ftransinf.2017KBP0026&partnerID=40&md5=fc0a4d2c34cb1d45a6a232c1dea550e6,"An important step for improving software analyzability is applying refactorings during the maintenance phase to remove bad smells, especially the long method bad smell. Long method bad smell occurs most frequently and is a root cause of other bad smells. However, no research has proposed an approach to repeating refactoring identification, suggestion, and application until all long method bad smells have been removed completely without reducing software analyzability. This paper proposes an effective approach to identifying refactoring opportunities and suggesting an effective refactoring set for complete removal of long method bad smell without reducing code analyzability. This approach, called the long method remover or LMR, uses refactoring enabling conditions based on program analysis and code metrics to identify four refactoring techniques and uses a technique embedded in JDeodorant to identify extract method. For effective refactoring set suggestion, LMR uses two criteria: code analyzability level and the number of statements impacted by the refactorings. LMR also uses side effect analysis to ensure behavior preservation. To evaluate LMR, we apply it to the core package of a real world Java application. Our evaluation criteria are 1) the preservation of code functionality, 2) the removal rate of long method characteristics, and 3) the improvement on analyzability. The result showed that the methods that apply suggested refactoring sets can completely remove long method bad smell, still have behavior preservation, and have not decreased analyzability. It is concluded that LMR meets the objectives in almost all classes. We also discussed the issues we found during evaluation as lesson learned. © Copyright 2018 The Institute of Electronics Information and Communication Engineers.",Code analyzability; Long method bad smell; Refactoring; Software engineering; Software maintenance,Codes (symbols); Computer software maintenance; Odors; Software engineering; Bad smells; Code analyzability; Effective approaches; Evaluation criteria; Java applications; Opportunity identifications; Refactorings; Side-effect analysis; Application programs,Conference Paper,2-s2.0-85049395535,
pkl,Ensemble features selection algorithm by considering features ranking priority,2018,Advances in Intelligent Systems and Computing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022225003&doi=10.1007%2f978-3-319-60663-7_5&partnerID=40&md5=3a86adaed6870f950cfd9e54c83b5e57,"Feature selection is a pre-processing for choosing relevant features and ignores features that tend to have no predictive information. Feature selection is applied to improve the accuracy of classification process. High relevant features have a tendency to get high classification performance. This paper proposed the ensemble of multiple feature ranking techniques by considering ranker priority for feature selection. Five individual feature ranking algorithms (information gain, gain ratio, symmetrical uncertainty, reliefF and oneR) are investigated and considered together as ensemble, based on ranking priority. The lung cancer, lymphoma, breast cancer, ovarian cancer and leukemia datasets were gathered from Kent Ridge bio-medical data and Machine Learning data repository. The datasets are applied to ensemble features selection algorithm. The obtained results are compared to results from individual feature ranking algorithms and the existing ensemble algorithm. The selected features are applied to classification algorithms. Area under the curve (AUC), precision and recall values from six classification algorithms are used to evaluate the obtained features. The experimental results show that the selected features from proposed ensemble features selection algorithm are greater than those of individual feature ranking techniques and the existing ensemble features selection algorithm. © Springer International Publishing AG 2018.",Ensemble; Feature selection; Ranker,Diseases; Feature extraction; Accuracy of classifications; Area under the curves; Classification algorithm; Classification performance; Ensemble; Precision and recall; Predictive information; Ranker; Classification (of information),Conference Paper,2-s2.0-85022225003,
pps,Comparison of document clustering methods based on bees algorithm and firefly algorithm using Thai documents,2018,Advances in Intelligent Systems and Computing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044431032&doi=10.1007%2f978-3-319-70016-8_8&partnerID=40&md5=244fed9fc1eab9d834cd3ce1ad641b5c,"Several researches performed experiments to compare performances of data clustering methods based on nature-inspired algorithms using various data types including text document dataset. According to the results, although Firefly algorithm showed high performance to cluster text document over several nature-inspired algorithms but Bees algorithm had better performance to solve complex problems than several nature-inspired algorithms. However, none of the experiments compared the performances of the both algorithms to cluster text documents. Therefore, we compare the document clustering performances of the clustering methods based on Firefly algorithm and Bees algorithm. © Springer International Publishing AG 2018.",Bees algorithm; Document clustering; Firefly algorithm; k-means,Bioluminescence; Cluster analysis; Information retrieval; Natural language processing systems; Optimization; Bees algorithms; Clustering methods; Complex problems; Data clustering methods; Document Clustering; Firefly algorithms; K-means; Nature inspired algorithms; Clustering algorithms,Conference Paper,2-s2.0-85044431032,
pps,An improved short pause based voice activity detection using long short-term memory recurrent neural network,2018,Communications in Computer and Information Science,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079741576&doi=10.1007%2f978-981-13-3149-7_20&partnerID=40&md5=d42f7411c789f20684ff6aa76f781b8b,"Generally, voice activity detection (VAD) commonly uses a silence over 100-ms as an endpoint of speech. Previously, the short pause based VAD is proposed to reduce the waiting time of caption result in automatic captioned relay service. This technique reduces the waiting time of caption result well. However, an accuracy of caption result is not maintained as it should be. The problem inherits to short-time energy feature which difficult and inaccurate to search the smallest characteristic like short pause or unvoiced sounds. Therefore, we propose the new technique that combines a Mel Frequency Cepstral Coefficient and Long Short-term Memory Recurrent Neural Network. This technique is called a pause classifier, which is able to capture the smallest characteristic like the short pause or unvoiced sounds. The experimental result shows an effective to reduce the waiting time while maintaining WER of caption result. The average waiting time reduced, the automatic speech recognition results are more continuous and constant. This will directly affect the user experience in automatic captioned relay service. © Springer Nature Singapore Pte Ltd.",,Brain; Long short-term memory; Relay control systems; User experience; Automatic speech recognition; Average waiting-time; Mel frequency cepstral co-efficient; Relay services; Short-time energy; Voice activity detection; Waiting-time; Speech recognition,Conference Paper,2-s2.0-85079741576,
nth,Semi-automatic framework for generating RDF dataset from open data,2018,Advances in Intelligent Systems and Computing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044411338&doi=10.1007%2f978-3-319-70016-8_1&partnerID=40&md5=c87568d1e9a8a6aa895b4d0e353dbb35,"Most of datasets in open data portals are mainly in tabular format in spreadsheet, e.g. CSV and XLS. To increase the value and reusability of these datasets, the datasets should be made available in RDF format that can support better data querying and data integration. In this paper, we present a semi-automatic framework for generating and publishing RDF dataset from existing datasets in tabular format. This framework provides automatic schema detection functions, i.e. data type and nominal type detection. In addition, user can create RDF dataset from existing dataset step-by-step without required knowledge about RDF and OWL. Evaluation of the schema detection using some datasets from data.go.th shows that the technique can achieve high precision in most datasets and high recall for the datasets with small data input errors. © Springer International Publishing AG 2018.",Automatic schema detection; Open data publishing process; RDF dataset publishing,Natural language processing systems; Reusability; Semantic Web; Data querying; Data type; Detection functions; High-precision; Open datum; Semi-automatics; Small data; Data integration,Conference Paper,2-s2.0-85044411338,
pps,Automatic ontology development from semi-structured data in web-portal: Towards ontology of thai rice knowledge,2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057274081&doi=10.1007%2f978-3-030-04284-4_18&partnerID=40&md5=d3966294ee3656bd5278eeb15562722b,"Heavyweight ontology is difficult to develop even for experienced ontology engineer, but it is required for semantic based computer software as core knowledge. Most of existing automated ontology development methods however focuses on lightweight ontology, taxonomy-instance extraction. This work presents a method to automatically construct relation-heavy ontology from semi-structured web content providing deep knowledge in specific domain. Classes, instances and hierarchical relation are derived from the category content from the web. Relations are extracted based on frequent expression details. Templates of relation and its range are extracted from common content with partial difference. Similar contexts are grouped with similarity and form as relation to attach to ontology classes. The case study of this work is Thai rice knowledge including rice variety, disease, weed and pest provided in website from responsible government. The complete ontology is used as core knowledge for personalised web service. The service assists in filter content in summary that matched to users’ information. Courtesy to the generated relation-heavy ontology, it is able to recommend relevant chained concepts to users based on semantic relation. From evaluation from an expert, the generated ontology obtained about 97% accuracy. © Springer Nature Switzerland AG 2018.",Knowledge extraction; Ontology learning; Pattern-based detection; Semi-structured content; Textual template,Extraction; Matched filters; Ontology; Pattern recognition; Semantic Web; Semantics; Web services; Knowledge extraction; Ontology learning; Pattern-based; Semi-structured; Textual template; Portals,Conference Paper,2-s2.0-85057274081,
tnt,Evaluation of demand-side management application based on human activity schedules,2017,"2017 IEEE 6th Global Conference on Consumer Electronics, GCCE 2017",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045760126&doi=10.1109%2fGCCE.2017.8229418&partnerID=40&md5=1086a19113065d2634359f9221cba10e,"Demand-side management (DSM) is one of the main applications for a community energy management in the smart grid. It can control and manage energy on the demand side, e.g., electricity consumption. Various DSM scheduling algorithms have been developed and have reported good evaluation results using simulation. However, in order to develop a practical DSM application, the effects of human activity scheduling must be further investigated. This paper demonstrates evaluating a DSM application which takes into account human activity schedule information. First, schedules regarding home appliance usage are extracted from daily activity schedule information. Then, based on the obtained schedules, user preferences of appliance usage time intervals and a community electricity consumption schedule are computed. Finally, after applying user preferences and the consumption schedule, optimal appliance schedules are determined. Evaluation results show the reduction of energy costs, which translates into savings on the user electricity bills. © 2017 IEEE.",,Demand side management; Domestic appliances; Electric power utilization; Electric utilities; Energy management; Scheduling algorithms; Daily activity; Demand Side Management (DSM); Electricity bill; Electricity-consumption; Energy cost; Evaluation results; Human activities; Time interval; Smart power grids,Conference Paper,2-s2.0-85045760126,
tnt,Towards a home environment testbed: Experiments with human body simulators and a real house,2017,"2017 IEEE 6th Global Conference on Consumer Electronics, GCCE 2017",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045745495&doi=10.1109%2fGCCE.2017.8229249&partnerID=40&md5=a988ce33bcd7a11467b181cf207d5222,"This paper illustrates a design and implementation of a home environment testbed. The proposed testbed aims to support experiments on real home environments with human subjects. However, conducting experiments with real human subjects has several limitations regarding costs, time, and user privacy. In order to avoid such issues, human body simulators (HBSims), which are designed to support 24-hour in-house repeatable experiments, are employed. Using HBSims, the patterns of human humidity and temperature are generated. Based on human activity schedules together with home appliance usage time obtained from one family, HBSims were employed in experiments in a real house. The evaluation results demonstrate that (1) our proposed testbed can potentially be used for real home environment experiments and (2) HBSims can be used instead of real human subjects for studying the effects of a human body in real home environments. © 2017 IEEE.",home environments; home services; human body simulators; smart home,Automation; Domestic appliances; Intelligent buildings; Simulators; Design and implementations; Evaluation results; Home environment; Home services; Human activities; Human bodies; Humidity and temperatures; Smart homes; Testbeds,Conference Paper,2-s2.0-85045745495,
ddp,Formal verification of ABAP by Z specification,2017,"Proceedings of the 2017 14th International Joint Conference on Computer Science and Software Engineering, JCSSE 2017",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031753140&doi=10.1109%2fJCSSE.2017.8025943&partnerID=40&md5=c2affdf0ef08c77d73fa800a75293989,"This paper has proposed a formal verification of ABAP by Z specification. An ABAP programming language is used to create a customized program in SAP ERP. The program must satisfy a business requirement. It likely has a defect from the developed program. Since a specification is created as the business requirement and a program should have functioned as in the specification, the formal verification is needed to assure the correctness of the function in the program. Both an ABAP program and its specification are translated into Z specification and they are verified by Isabelle in order to ensure that the ABAP program conforms to its specification. We also give some experimental result to show the effectiveness of our method. © 2017 IEEE.",ABAP; Formal Verification; HOL; Isabelle; SAP ERP; Z Specification,Enterprise resource planning; Software engineering; Specifications; ABAP; Business requirement; Isabelle; Z specifications; Formal verification,Conference Paper,2-s2.0-85031753140,
ksc,Performance comparisons and data compression of time-bound live migration and pre-copy live migration of virtual machines,2017,"Proceedings - 18th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2017",2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030853010&doi=10.1109%2fSNPD.2017.8022747&partnerID=40&md5=e5e4ece3f85ebd6f1711a09608305d62,"Pre-copy live migration is a popular virtual machine (VM) live migration mechanism that has been used in most hypervisors. In this mechanism, a key parameter, namely the maximum tolerable downtime, is required for each migration. However, defining an appropriate value for this parameter is nontrivial, especially for the migration of a virtual machine running CPU-intensive and memory-intensive applications. If an inappropriate value is used, the migration may suffer poor performance. Time-bound Live Migration (TLM) is another live migration mechanism that was proposed to solve this problem. The TLM can operate automatically without the need for the maximum tolerable downtime. Thus, the operational burden and performance penalty due to the configuration of the maximum tolerable downtime are eliminated. The contributions of this study are two folds. First, a novel compression framework for TLM, namely TLMZ, is proposed. Second, the live migration performances of TLM and TLMZ are evaluated against those of the pre-copy mechanism. In our comparisons, the pre-copy mechanism was configured to operate using a range of maximum tolerable downtime values and a number of compression options. An extensive number of experiments have been conducted. In our experiments, the TLM, TLMZ, and pre-copy mechanisms are used to migrate VMs running four OpenMP NAS parallel benchmarks. Experimental results show that TLM and TLMZ are practical solutions for the migrations of VMs running CPU-intensive and memory-intensive applications. © 2017 IEEE.",Compression; Live migration; Virtualization,Application programming interfaces (API); Artificial intelligence; Compaction; Data compression; Maintenance; Network security; Software engineering; Virtualization; CPU-intensive; Hypervisors; Live migrations; NAS parallel benchmarks; Performance comparison; Performance penalties; Poor performance; Practical solutions; Virtual machine,Conference Paper,2-s2.0-85030853010,
pps,Implement of salary prediction system to improve student motivation using data mining technique,2017,"Proceedings - 11th 2016 International Conference on Knowledge, Information and Creativity Support Systems, KICSS 2016",5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025472111&doi=10.1109%2fKICSS.2016.7951419&partnerID=40&md5=4615fa1634eee6d81dd6d43cee860d39,"This paper presents a salary prediction system using a profile of graduated students as a model. A data mining technique is applied to generate a model to predict a salary for individual students who have similar attributes to the training data. In this work, we also made an experiment to compare five data mining techniques including Decision trees, Naive Bayes, K-Nearest neighbor, Support vector machines, and Neural networks to find the suitable technique to the salary prediction. In the experiment, 13,541 records of graduated student data were used with 10-fold cross validation method. Results showed that K-Nearest neighbor provided the best efficiency to be used as a model for salary prediction. For usage evaluation, a questionnaire survey was conducted with 50 user samplings and a result showed that the system was effective in boosting students' motivation for studying and also gave them a positive future viewpoint. The result also informed that they found they satisfied with the implemented system since the system was easy to use, and the prediction results were simple to understand without requiring any background knowledge. © 2016 IEEE.",Classification technique; Decision trees; Educational data mining; K-Nearest neighbor; Motivation; Naive Bayes; Neural networks; Salary prediction system; Support vector machines,Classifiers; Compensation (personnel); Decision trees; Education; Forecasting; Forestry; Motivation; Nearest neighbor search; Neural networks; Students; Support vector machines; Surveys; Trees (mathematics); Wages; Classification technique; Educational data mining; K-nearest neighbors; Naive bayes; Prediction systems; Data mining,Conference Paper,2-s2.0-85025472111,
pps,Random Forest for Salary Prediction System to Improve Students' Motivation,2017,"Proceedings - 12th International Conference on Signal Image Technology and Internet-Based Systems, SITIS 2016",6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019262168&doi=10.1109%2fSITIS.2016.106&partnerID=40&md5=0b33ff9dbad33496eae6b97a2938446f,"A salary prediction model was generated for graduate students using a data mining technique to generate for individuals with similar training attributes. An experiment was also conducted to compare the two data mining techniques Decision Trees ID3, C4.5 and Random Forest to determine the most suitable technique for salary prediction, tuned with key important parameters to improve the accuracy of the results. Random Forest gave the best accuracy at 90.50%, while Decision Trees ID3 and C4.5 returned lower accuracies at 61.37% and 73.96%, respectively for 13,541 records of graduate students using a 10-fold cross-validation method. Random Forest generated the best efficiency model for salary prediction. A questionnaire survey was conducted to determine usage evaluation with 50 samples. Results indicated that the system was effective in boosting students' motivation for studying, and also gave them a positive future viewpoint. The results also suggested that the students were satisfied with the implemented system since it was easy to use, and the prediction results were simple to understand without any previous background statistical knowledge. © 2016 IEEE.",Classification technique; Decision trees; Educational data mining; Motivation; Random Forest; Salary prediction system,Compensation (personnel); Data mining; Decision trees; Education; Forestry; Motivation; Students; Surveys; Wages; 10-fold cross-validation; Classification technique; Educational data mining; Graduate students; Prediction systems; Questionnaire surveys; Random forests; Statistical knowledge; Forecasting,Conference Paper,2-s2.0-85019262168,
pps,Automated Test Assembly with Minimum Redundant Questions Based on Bee Algorithm,2017,"Proceedings - 12th International Conference on Signal Image Technology and Internet-Based Systems, SITIS 2016",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019196456&doi=10.1109%2fSITIS.2016.108&partnerID=40&md5=bdfdea41017070b2b23d97793976e0e6,"An ideal test form should contain questions with different level of difficulties and non-redundant questions. This paper proposed an automated test assembly algorithm to minimize the redundant question in a test form based on Bee algorithm. A neighborhood search in Bee algorithm is improved by using a new technique, called Min-SumDistance (MSD). The MSD is the distance of considered question compared to others in the test form. The sum of question pairs distance indicates to the redundant question in the test form. A question content is represented in two forms as an unigram with TF and TF-IDF scores. The experiments using 200 questions from Information Technology Professional Examination(ITPE). To evaluate the performance of MSD method, we count a number of enemy pairs of the test form and compared to the random method. The experimental results show that our proposed algorithm yields the significant numbers of redundant questions. © 2016 IEEE.",Automated Test Assembly; Bee Algorithm; Neighborhood Search; TF-IDF,Automation; Optimization; Automated test; Bee Algorithm; Information technology professionals; Level of difficulties; Neighborhood search; Non-redundant; Random methods; TF-IDF; Testing,Conference Paper,2-s2.0-85019196456,
pps,Reducing waiting time in automatic captioned relay service using short pause in voice activity detection,2017,"2017 9th International Conference on Knowledge and Smart Technology: Crunching Information of Everything, KST 2017",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017518452&doi=10.1109%2fKST.2017.7886109&partnerID=40&md5=35d4b3c4f51e85d9af6766384d1e8e49,"The Automatic Captioned Relay Service is crucial for hearing disabilities or hard-of-hearing to communicate with others in real life. This service uses an Automatic Speech Recognition (ASR) to transcribe speech to a caption. If can reduce waiting time from non-streaming speech recognition, the relay service will support more users. In this paper, we proposed a method for improving a voice activity detection (VAD) using a short pause as endpoint based on dual-threshold method. This method reduces waiting time of the captions results. The experimental results show that the propose method reduces 19.10% of waiting time without losing the accuracy of captions when compare with traditional VAD. © 2017 IEEE.",Automatic captioned relay service; Dual-threshold method; Short pause; Voice activity detection,Audition; Deep neural networks; Relay control systems; Automatic speech recognition; Hard of hearings; Hearing disabilities; Relay services; Short pause; Threshold methods; Voice activity detection; Waiting-time; Speech recognition,Conference Paper,2-s2.0-85017518452,
wdp,Fine-Grained bandwidth allocation in software-defined networks,2017,"20th International Computer Science and Engineering Conference: Smart Ubiquitos Computing and Knowledge, ICSEC 2016",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016230654&doi=10.1109%2fICSEC.2016.7859905&partnerID=40&md5=ce9bbdc1c7cbac05c832eebe3ab1f785,"We study the prototype for fine-grained bandwidth allocating managers (FGBAM) which allot communication bandwidth inside heterogeneous software-defined networks (SDN) based on user-defined policies. FGBAM can be beneficial in enabling Quality-of-Service (QoS) during both normal periods and disaster recovery time. FGBAM consists of two parts: The web-based front end and the back end for enforcing bandwidth allocation policies. The web-based front end facilitates network administrators in specifying bandwidth allocation policies for packet flows of interest. The back end of FGBAM enforces bandwidth allocation policies by acting as a proxy between the network devices (i.e. switches and routers) and SDN controllers. Our bandwidth manager has four desirable properties. Firstly, FGBAM supports fine-grained bandwidth allocation policies. That is, it allows allotting communication bandwidth of one port among many packet flows. Secondly, using the proxy manner, FGBAM is transparent to both SDN controllers and network devices in a software-defined network. It requires no changes in configurations of both SDN controllers and network devices. Thirdly, FGBAM can cooperate with market-leading SDN controllers of many kinds, Beacon, Floodlight, NOX, Trema, just to name a few. Last but not least, FGBAM can enable QoS in heterogeneous environment in which an SDN composes of network devices running different releases of the OpenFlow protocol. Being able to provide QoS in heterogeneous SDNs is crucial while vendors and network administrators are slowly catching up with the evolutionary of the protocol. We evaluated the performance of FGBAM in a simulated environment. The results showed that FGBAM can allocate fine-grained communication bandwidth for packet flows of interest. In addition, the results were achieved without any change applied to configurations of network devices and SDN controllers. © 2016 IEEE.",Bandwidth allocation; Component; Openflow; Quality-of-service (QoS); Software-defined networks (SDN),Bandwidth; Computer software; Controllers; Electric lighting; Frequency allocation; Internet protocols; Managers; Software defined networking; Web crawler; Websites; Bandwidth allocation policies; Communication bandwidth; Component; Heterogeneous environments; Heterogeneous software; Network administrator; Openflow; User-defined policies; Quality of service,Conference Paper,2-s2.0-85016230654,
lpp,Usability Studies on Mobile User Interface Design Patterns: A Systematic Literature Review,2017,Advances in Human-Computer Interaction,31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042064383&doi=10.1155%2f2017%2f6787504&partnerID=40&md5=420d0d0bf5b74349e6b402ff5b0f31bf,"Mobile platforms have called for attention from HCI practitioners, and, ever since 2007, touchscreens have completely changed mobile user interface and interaction design. Some notable differences between mobile devices and desktops include the lack of tactile feedback, ubiquity, limited screen size, small virtual keys, and high demand of visual attention. These differences have caused unprecedented challenges to users. Most of the mobile user interface designs are based on desktop paradigm, but the desktop designs do not fully fit the mobile context. Although mobile devices are becoming an indispensable part of daily lives, true standards for mobile UI design patterns do not exist. This article provides a systematic literature review of the existing studies on mobile UI design patterns. The first objective is to give an overview of recent studies on the mobile designs. The second objective is to provide an analysis on what topics or areas have insufficient information and what factors are concentrated upon. This article will benefit the HCI community in seeing an overview of present works, to shape the future research directions. © 2017 Lumpapun Punchoojit and Nuttanont Hongwarittorrn.",,,Review,2-s2.0-85042064383,
